code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
DP2-1621,DP2,1621,1B,12,64,SARH,Duplex Villa,DP2,13.1,2.8,10.3,lt35,<M35,#93C5FD
DP2-1620,DP2,1620,1B,12,64,SARH,Duplex Villa,DP2,13.1,2.8,10.3,lt35,<M35,#93C5FD
DP2-1554,DP2,1554,1B,10,54,SARH,Duplex Villa,DP2,14.7,16.6,-1.9,lt35,<M35,#93C5FD
DP2-1829,DP2,1829,1B,6,34,SARH,Duplex Villa,DP2,14.6,23.9,-9.3,lt35,<M35,#93C5FD
DP2-1815,DP2,1815,1B,6,34,SARH,Duplex Villa,DP2,14.6,23.9,-9.3,lt35,<M35,#93C5FD
DP2-1635,DP2,1635,1B,12,64,SARH,Duplex Villa,DP2,13.1,2.8,10.3,lt35,<M35,#93C5FD
DP2-1564,DP2,1564,1B,11,55,SARH,Duplex Villa,DP2,14.8,20.1,-5.3,lt35,<M35,#93C5FD
DP2-1704,DP2,1704,1B,10,52,SARH,Duplex Villa,DP2,14.6,16.5,-1.9,lt35,<M35,#93C5FD
DP2-1634,DP2,1634,1B,12,64,SARH,Duplex Villa,DP2,13,2.8,10.2,lt35,<M35,#93C5FD
DP2-1631,DP2,1631,1B,12,64,SARH,Duplex Villa,DP2,13.1,2.8,10.3,lt35,<M35,#93C5FD
DP2-1604,DP2,1604,1B,12,68,SARH,Duplex Villa,DP2,13.3,3.5,9.8,lt35,<M35,#93C5FD
DP2-1603,DP2,1603,1B,12,68,SARH,Duplex Villa,DP2,13.2,3.5,9.7,lt35,<M35,#93C5FD
DP2-1767,DP2,1767,1B,7,40,SARH,Duplex Villa,DP2,14.1,14.8,-0.7,lt35,<M35,#93C5FD
DP2-1821,DP2,1821,1B,6,34,SARH,Duplex Villa,DP2,14.6,23.9,-9.3,lt35,<M35,#93C5FD
DP2-1820,DP2,1820,1B,6,34,SARH,Duplex Villa,DP2,14.5,23.9,-9.4,lt35,<M35,#93C5FD
DP2-1561,DP2,1561,1B,10,54,SARH,Duplex Villa,DP2,14.7,16.6,-1.9,lt35,<M35,#93C5FD
DP2-1814,DP2,1814,1B,6,34,SARH,Duplex Villa,DP2,14.5,23.9,-9.4,lt35,<M35,#93C5FD
DP2-1822,DP2,1822,1B,6,34,SARH,Duplex Villa,DP2,14.5,23.9,-9.4,lt35,<M35,#93C5FD
DP2-1828,DP2,1828,1B,6,34,SARH,Duplex Villa,DP2,14.5,23.9,-9.4,lt35,<M35,#93C5FD
DP2-1572,DP2,1572,1B,11,55,SARH,Duplex Villa,DP2,14.8,20.1,-5.3,lt35,<M35,#93C5FD
DP2-1630,DP2,1630,1B,12,64,SARH,Duplex Villa,DP2,13.1,2.8,10.3,lt35,<M35,#93C5FD
DP2-1770,DP2,1770,1B,8,41,SARH,Duplex Villa,DP2,13.2,13.1,0.1,lt35,<M35,#93C5FD
DP2-1563,DP2,1563,1B,11,55,SARH,Duplex Villa,DP2,14.7,20,-5.3,lt35,<M35,#93C5FD
DP2-1562,DP2,1562,1B,10,54,SARH,Duplex Villa,DP2,14.7,16.6,-1.9,lt35,<M35,#93C5FD
DP2-1771,DP2,1771,1B,8,41,SARH,Duplex Villa,DP2,13.3,13.1,0.2,lt35,<M35,#93C5FD
DP2-1823,DP2,1823,1B,6,34,SARH,Duplex Villa,DP2,14.6,23.9,-9.3,lt35,<M35,#93C5FD
DP2-1553,DP2,1553,1B,10,54,SARH,Duplex Villa,DP2,14.7,16.6,-1.9,lt35,<M35,#93C5FD
DP2-1768,DP2,1768,1B,7,40,SARH,Duplex Villa,DP2,14.1,14.8,-0.7,lt35,<M35,#93C5FD
VD2-1609,VD2,1609,1B,12,68,SARH,Villa,VD2,20.7,19.2,1.5,lt35,<M35,#93C5FD
VD2-1774,VD2,1774,1B,8,41,SARH,Villa,VD2,37.4,39.8,-2.4,ms35,M35,#3B82F6
VD2-1792,VD2,1792,1B,9,47,SARH,Villa,VD2,37.2,24.2,13,ms35,M35,#3B82F6
VD2-1575,VD2,1575,1B,11,58,SARH,Villa,VD2,20.8,21.4,-0.6,lt35,<M35,#93C5FD
VD2-1790,VD2,1790,1B,9,47,SARH,Villa,VD2,36.6,24.2,12.4,ms35,M35,#3B82F6
VD2-1662,VD2,1662,1B,12,62,SARH,Villa,VD2,22.4,15.2,7.2,lt35,<M35,#93C5FD
VD2-1724,VD2,1724,1B,11,59,SARH,Villa,VD2,22,15.3,6.7,lt35,<M35,#93C5FD
VD2-1663,VD2,1663,1B,12,62,SARH,Villa,VD2,22.4,15.2,7.2,lt35,<M35,#93C5FD
VD2-1887,VD2,1887,1B,7,39,SARH,Villa,VD2,35.7,27.1,8.6,ms35,M35,#3B82F6
VD2-1746,VD2,1746,1B,10,52,SARH,Villa,VD2,24.2,23.1,1.1,lt35,<M35,#93C5FD
VD2-1739,VD2,1739,1B,10,52,SARH,Villa,VD2,18.3,23.1,-4.8,lt35,<M35,#93C5FD
VD2-1580,VD2,1580,1B,11,58,SARH,Villa,VD2,23.8,21.4,2.4,lt35,<M35,#93C5FD
VD2-1721,VD2,1721,1B,11,59,SARH,Villa,VD2,22.2,15.3,6.9,lt35,<M35,#93C5FD
VD2-1585,VD2,1585,1B,12,63,SARH,Villa,VD2,22.3,15.1,7.2,lt35,<M35,#93C5FD
VD2-1890,VD2,1890,1B,7,39,SARH,Villa,VD2,37.5,27.1,10.4,ms35,M35,#3B82F6
VD2-1730,VD2,1730,1B,11,59,SARH,Villa,VD2,21.7,15.3,6.4,lt35,<M35,#93C5FD
VD2-1727,VD2,1727,1B,11,59,SARH,Villa,VD2,22.1,15.3,6.8,lt35,<M35,#93C5FD
VD2-1588,VD2,1588,1B,12,63,SARH,Villa,VD2,19.2,15.1,4.1,lt35,<M35,#93C5FD
VD2-1779,VD2,1779,1B,8,41,SARH,Villa,VD2,37.1,39.8,-2.7,ms35,M35,#3B82F6
DP3-1952,DP3,1952,1B,8,43,SARH,Duplex Villa,DP3,25,15.2,9.8,lt35,<M35,#93C5FD
DP3-1956,DP3,1956,1B,8,43,SARH,Duplex Villa,DP3,23.1,15.2,7.9,lt35,<M35,#93C5FD
DP3-1638,DP3,1638,1B,12,64,SARH,Duplex Villa,DP3,14.6,3.7,10.9,lt35,<M35,#93C5FD
DP3-1624,DP3,1624,1B,12,64,SARH,Duplex Villa,DP3,12.7,3.7,9,lt35,<M35,#93C5FD
DP3-1978,DP3,1978,1B,8,43,SARH,Duplex Villa,DP3,23,15.2,7.8,lt35,<M35,#93C5FD
DP3-1903,DP3,1903,1B,9,44,SARH,Duplex Villa,DP3,20.8,23,-2.2,lt35,<M35,#93C5FD
DP3-1879,DP3,1879,1B,7,39,SARH,Duplex Villa,DP3,21.3,23.5,-2.2,lt35,<M35,#93C5FD
DP3-1974,DP3,1974,1B,8,43,SARH,Duplex Villa,DP3,20.6,15.2,5.4,lt35,<M35,#93C5FD
DP3-1959,DP3,1959,1B,8,43,SARH,Duplex Villa,DP3,22.7,16.6,6.1,lt35,<M35,#93C5FD
DP3-1977,DP3,1977,1B,8,43,SARH,Duplex Villa,DP3,22.6,16.6,6,lt35,<M35,#93C5FD
DP3-1981,DP3,1981,1B,8,43,SARH,Duplex Villa,DP3,25.1,16.6,8.5,lt35,<M35,#93C5FD
DP3-1627,DP3,1627,1B,12,64,SARH,Duplex Villa,DP3,13.9,4,9.9,lt35,<M35,#93C5FD
DP3-1882,DP3,1882,1B,7,39,SARH,Duplex Villa,DP3,23.1,25.5,-2.4,lt35,<M35,#93C5FD
DP3-1641,DP3,1641,1B,12,64,SARH,Duplex Villa,DP3,15.9,4,11.9,lt35,<M35,#93C5FD
DP3-1955,DP3,1955,1B,8,43,SARH,Duplex Villa,DP3,27.1,16.6,10.5,lt35,<M35,#93C5FD
DP3-1906,DP3,1906,1B,9,44,SARH,Duplex Villa,DP3,22.7,24.9,-2.2,lt35,<M35,#93C5FD
DP1-1853,DP1,1853,1B,7,38,SARH,Duplex Villa,DP1,30.3,21.5,8.8,lt35,<M35,#93C5FD
DP1-1694,DP1,1694,1B,10,50,SARH,Duplex Villa,DP1,18.4,23.3,-4.9,lt35,<M35,#93C5FD
DP1-1669,DP1,1669,1B,12,62,SARH,Duplex Villa,DP1,17.7,13.4,4.3,lt35,<M35,#93C5FD
DP1-1857,DP1,1857,1B,7,38,SARH,Duplex Villa,DP1,31.4,21.5,9.9,lt35,<M35,#93C5FD
DP1-1932,DP1,1932,1B,9,45,SARH,Duplex Villa,DP1,28.8,18,10.8,lt35,<M35,#93C5FD
DP1-1861,DP1,1861,1B,7,38,SARH,Duplex Villa,DP1,31,21.5,9.5,lt35,<M35,#93C5FD
DP1-1922,DP1,1922,1B,7,37,SARH,Duplex Villa,DP1,30.7,20.3,10.4,lt35,<M35,#93C5FD
DP1-1690,DP1,1690,1B,10,50,SARH,Duplex Villa,DP1,22.6,23.3,-0.7,lt35,<M35,#93C5FD
DP1-1757,DP1,1757,1B,6,29,SARH,Duplex Villa,DP1,22.6,30.9,-8.3,lt35,<M35,#93C5FD
DP1-1850,DP1,1850,1B,7,38,SARH,Duplex Villa,DP1,31.1,21.5,9.6,lt35,<M35,#93C5FD
DP1-1756,DP1,1756,1B,6,29,SARH,Duplex Villa,DP1,22.6,30.9,-8.3,lt35,<M35,#93C5FD
DP1-1929,DP1,1929,1B,9,45,SARH,Duplex Villa,DP1,27.9,18,9.9,lt35,<M35,#93C5FD
DP1-1691,DP1,1691,1B,10,50,SARH,Duplex Villa,DP1,21.5,23.3,-1.8,lt35,<M35,#93C5FD
DP1-1695,DP1,1695,1B,10,50,SARH,Duplex Villa,DP1,18.8,23.3,-4.5,lt35,<M35,#93C5FD
DP1-1915,DP1,1915,1B,7,37,SARH,Duplex Villa,DP1,29.4,20.3,9.1,lt35,<M35,#93C5FD
DP1-1940,DP1,1940,1B,9,44,SARH,Duplex Villa,DP1,28.6,23.4,5.2,lt35,<M35,#93C5FD
DP1-1858,DP1,1858,1B,7,38,SARH,Duplex Villa,DP1,31.3,21.5,9.8,lt35,<M35,#93C5FD
DP1-1919,DP1,1919,1B,7,37,SARH,Duplex Villa,DP1,31.7,20.3,11.4,lt35,<M35,#93C5FD
DP1-1846,DP1,1846,1B,7,38,SARH,Duplex Villa,DP1,25.2,21.5,3.7,lt35,<M35,#93C5FD
DP1-1666,DP1,1666,1B,12,62,SARH,Duplex Villa,DP1,16.2,13.4,2.8,lt35,<M35,#93C5FD
DP1-1656,DP1,1656,1B,12,62,SARH,Duplex Villa,DP1,16.3,13.4,2.9,lt35,<M35,#93C5FD
DP1-1854,DP1,1854,1B,7,38,SARH,Duplex Villa,DP1,30.8,21.5,9.3,lt35,<M35,#93C5FD
DP1-1907,DP1,1907,1B,9,44,SARH,Duplex Villa,DP1,29,23.4,5.6,lt35,<M35,#93C5FD
DP1-1944,DP1,1944,1B,9,44,SARH,Duplex Villa,DP1,27.4,23.4,4,lt35,<M35,#93C5FD
VD1-1745,VD1,1745,1B,10,52,SARH,Villa,VD1,24,25.8,-1.8,lt35,<M35,#93C5FD
DP1-1702,DP1,1702,1B,10,53,SARH,Duplex Villa,DP1,20.1,21.7,-1.6,lt35,<M35,#93C5FD
VD1-1709,VD1,1709,1B,10,52,SARH,Villa,VD1,18.4,25.8,-7.4,lt35,<M35,#93C5FD
DP1-1659,DP1,1659,1B,12,62,SARH,Duplex Villa,DP1,15.5,13.4,2.1,lt35,<M35,#93C5FD
DP1-1849,DP1,1849,1B,7,38,SARH,Duplex Villa,DP1,23,21.5,1.5,lt35,<M35,#93C5FD
DP1-1943,DP1,1943,1B,9,44,SARH,Duplex Villa,DP1,28.6,23.4,5.2,lt35,<M35,#93C5FD
DP1-1918,DP1,1918,1B,7,37,SARH,Duplex Villa,DP1,28.4,20.3,8.1,lt35,<M35,#93C5FD
VD1-1742,VD1,1742,1B,10,52,SARH,Villa,VD1,17.9,25.8,-7.9,lt35,<M35,#93C5FD
VD1-1706,VD1,1706,1B,10,52,SARH,Villa,VD1,18.4,25.8,-7.4,lt35,<M35,#93C5FD
DP1-1947,DP1,1947,1B,9,44,SARH,Duplex Villa,DP1,24.7,23.4,1.3,lt35,<M35,#93C5FD
DP1-1910,DP1,1910,1B,9,44,SARH,Duplex Villa,DP1,28.7,23.4,5.3,lt35,<M35,#93C5FD
DP1-1703,DP1,1703,1B,10,53,SARH,Duplex Villa,DP1,20.5,21.7,-1.2,lt35,<M35,#93C5FD
TH1-1931,TH1,1931,1B,9,45,SARH,Townhouse,TH1,27.5,17.9,9.6,lt35,<M35,#93C5FD
TH1-1921,TH1,1921,1B,7,37,SARH,Townhouse,TH1,31.9,20.2,11.7,lt35,<M35,#93C5FD
TH1-1668,TH1,1668,1B,12,62,SARH,Townhouse,TH1-IM,17.1,13.4,3.7,lt35,<M35,#93C5FD
TH1-1657,TH1,1657,1B,12,62,SARH,Townhouse,TH1,16.2,13.4,2.8,lt35,<M35,#93C5FD
TH1-1852,TH1,1852,1B,7,38,SARH,Townhouse,TH1,30.9,21.4,9.5,lt35,<M35,#93C5FD
TH1-1920,TH1,1920,1B,7,37,SARH,Townhouse,TH1,31.3,20.2,11.1,lt35,<M35,#93C5FD
TH1-1667,TH1,1667,1B,12,62,SARH,Townhouse,TH1-IM,16,13.4,2.6,lt35,<M35,#93C5FD
TH1-1930,TH1,1930,1B,9,45,SARH,Townhouse,TH1,27.6,17.9,9.7,lt35,<M35,#93C5FD
TH1-1916,TH1,1916,1B,7,37,SARH,Townhouse,TH1,29.9,20.2,9.7,lt35,<M35,#93C5FD
TH1-1851,TH1,1851,1B,7,38,SARH,Townhouse,TH1,31,21.4,9.6,lt35,<M35,#93C5FD
TH1-1908,TH1,1908,1B,9,44,SARH,Townhouse,TH1,28.1,23.4,4.7,lt35,<M35,#93C5FD
TH3-1640,TH3,1640,1B,12,64,SARH,Townhouse,TH3,14.2,3.6,10.6,lt35,<M35,#93C5FD
